"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"24","Evening hike (via @shots) http://t.co/Mod5Xp078K",FALSE,1602,NA,2014-10-21 03:36:06,FALSE,NA,"524403728875814912",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","john",3944,FALSE,FALSE,NA,NA
"25","Working on Shots and eating cereal http://t.co/3utkuuHZ9o",FALSE,2421,NA,2014-10-20 18:55:19,FALSE,NA,"524272669470883840",NA,"<a href=""http://shots.me"" rel=""nofollow"">Shots App</a>","john",5974,FALSE,FALSE,NA,NA
"26","@drewsmyblessing thank you. you too.",FALSE,1082,"drewsmyblessing",2014-10-20 18:13:11,FALSE,"524259579782508545","524262066748526592","115479232","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","john",2726,FALSE,FALSE,NA,NA
"27","Apple's OS X Yosemite &gt;&gt;&gt;&gt;&gt;",FALSE,1648,NA,2014-10-20 17:59:19,FALSE,NA,"524258575485382657",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","john",3992,FALSE,FALSE,NA,NA
"28","Sunday night with my brother http://t.co/xouzagDM2i",FALSE,1785,NA,2014-10-20 04:58:01,FALSE,NA,"524061955645259776",NA,"<a href=""http://shots.me"" rel=""nofollow"">Shots App</a>","john",4473,FALSE,FALSE,NA,NA
"29","Just posted on @shots http://t.co/M6OPHQIdAt",FALSE,1561,NA,2014-10-20 00:39:34,FALSE,NA,"523996914346229760",NA,"<a href=""http://shots.me"" rel=""nofollow"">Shots App</a>","john",3968,FALSE,FALSE,NA,NA
"30","Justin Bieber Takes Boxing Lessons From Floyd Mayweather http://t.co/G5HtTvWO4F",FALSE,2557,NA,2014-10-19 17:13:38,FALSE,NA,"523884692576423936",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","john",5866,FALSE,FALSE,NA,NA
"31","Eating breakfast with my Mom http://t.co/kEvRkzi3nb",FALSE,1635,NA,2014-10-19 16:49:07,FALSE,NA,"523878520054087680",NA,"<a href=""http://shots.me"" rel=""nofollow"">Shots App</a>","john",4023,FALSE,FALSE,NA,NA
"32","@kristalterrell thanks.. they were $8 plus tax at Chevron ⛽️ http://t.co/b7ELDqq4Hj",FALSE,903,"kristalterrell",2014-10-19 00:26:58,FALSE,NA,"523631355796946944","35263779","<a href=""http://shots.me"" rel=""nofollow"">Shots App</a>","john",2349,FALSE,FALSE,NA,NA
"33","@TylerNorman I like your shirt dogg http://t.co/022G6JINkO",FALSE,824,"TylerNorman",2014-10-19 00:18:46,FALSE,NA,"523629291528273921","26057722","<a href=""http://shots.me"" rel=""nofollow"">Shots App</a>","john",2209,FALSE,FALSE,NA,NA
"34","at the gym http://t.co/vDddUGaS9v",FALSE,1502,NA,2014-10-18 21:40:30,FALSE,NA,"523589461326954496",NA,"<a href=""http://shots.me"" rel=""nofollow"">Shots App</a>","john",3492,FALSE,FALSE,NA,NA
"35","@samcmlaird @FloydMayweather @justinbieber it was a fun, fun night.",FALSE,1208,"samcmlaird",2014-10-18 02:34:18,FALSE,"523290502800867328","523301010895159298","199991949","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","john",3203,FALSE,FALSE,NA,NA
